example_id                                                                         | status | run_time        |
./spec/controllers/account/payments_controller_spec.rb[1:4:1]                      | passed | 0.34671 seconds |
./spec/controllers/account/payments_controller_spec.rb[1:4:2]                      | passed | 0.33618 seconds |
./spec/controllers/account/users_controller_spec.rb[1:1:1]                         | passed | 1.24 seconds    |
./spec/controllers/account/users_controller_spec.rb[1:2:1]                         | passed | 1.47 seconds    |
./spec/controllers/account/users_controller_spec.rb[1:3:1:1]                       | passed | 1.97 seconds    |
./spec/controllers/account/users_controller_spec.rb[1:3:1:2]                       | passed | 2.02 seconds    |
./spec/controllers/account/users_controller_spec.rb[1:3:2:1]                       | passed | 2.48 seconds    |
./spec/controllers/account/users_controller_spec.rb[1:3:3:1]                       | passed | 1.99 seconds    |
./spec/controllers/account/users_controller_spec.rb[1:3:4:1]                       | passed | 2.53 seconds    |
./spec/controllers/account/utility_providers_controller_spec.rb[1:1:1]             | passed | 0.47018 seconds |
./spec/controllers/account/utility_providers_controller_spec.rb[1:1:2]             | passed | 0.32902 seconds |
./spec/controllers/account/utility_providers_controller_spec.rb[1:1:3]             | passed | 0.34944 seconds |
./spec/controllers/account/utility_providers_controller_spec.rb[1:2:1]             | passed | 0.37804 seconds |
./spec/controllers/account/utility_providers_controller_spec.rb[1:2:2]             | passed | 0.36967 seconds |
./spec/controllers/account/utility_providers_controller_spec.rb[1:3:1]             | passed | 0.4209 seconds  |
./spec/controllers/account/utility_providers_controller_spec.rb[1:3:2]             | passed | 0.4371 seconds  |
./spec/controllers/account/utility_providers_controller_spec.rb[1:4:1:1]           | passed | 0.32752 seconds |
./spec/controllers/account/utility_providers_controller_spec.rb[1:4:1:2]           | passed | 0.31459 seconds |
./spec/controllers/account/utility_providers_controller_spec.rb[1:4:1:3]           | passed | 0.30323 seconds |
./spec/controllers/account/utility_providers_controller_spec.rb[1:4:2:1]           | passed | 0.23058 seconds |
./spec/controllers/account/utility_providers_controller_spec.rb[1:4:2:2]           | passed | 0.24125 seconds |
./spec/controllers/account/utility_providers_controller_spec.rb[1:4:2:3]           | passed | 0.25169 seconds |
./spec/controllers/account/utility_providers_controller_spec.rb[1:5:1:1]           | passed | 0.25096 seconds |
./spec/controllers/account/utility_providers_controller_spec.rb[1:5:1:2]           | passed | 0.25106 seconds |
./spec/controllers/account/utility_providers_controller_spec.rb[1:5:2:1]           | passed | 0.26473 seconds |
./spec/controllers/account/utility_providers_controller_spec.rb[1:5:2:2]           | passed | 0.27965 seconds |
./spec/controllers/account/utility_providers_controller_spec.rb[1:5:2:3]           | passed | 0.24451 seconds |
./spec/controllers/account/utility_providers_controller_spec.rb[1:6:1]             | passed | 0.22351 seconds |
./spec/controllers/account/utility_providers_controller_spec.rb[1:6:2]             | passed | 0.22537 seconds |
./spec/controllers/errors_controller_spec.rb[1:1:1]                                | passed | 0.02227 seconds |
./spec/controllers/errors_controller_spec.rb[1:2:1]                                | passed | 0.02041 seconds |
./spec/controllers/errors_controller_spec.rb[1:3:1]                                | passed | 0.03037 seconds |
./spec/controllers/errors_controller_spec.rb[1:4:1]                                | passed | 0.01342 seconds |
./spec/controllers/errors_controller_spec.rb[1:5:1]                                | passed | 0.01804 seconds |
./spec/controllers/errors_controller_spec.rb[1:6:1]                                | passed | 0.01063 seconds |
./spec/controllers/home_controller_spec.rb[1:1:1]                                  | passed | 0.02209 seconds |
./spec/controllers/home_controller_spec.rb[1:2:1]                                  | passed | 0.0147 seconds  |
./spec/controllers/registrations_controller_spec.rb[1:1:1:1]                       | passed | 0.27481 seconds |
./spec/controllers/registrations_controller_spec.rb[1:1:2:1]                       | passed | 0.27025 seconds |
./spec/controllers/registrations_controller_spec.rb[1:1:3:1]                       | passed | 0.26927 seconds |
./spec/controllers/registrations_controller_spec.rb[1:1:4:1]                       | passed | 0.31058 seconds |
./spec/factories_spec.rb[1:1]                                                      | passed | 0.01319 seconds |
./spec/factories_spec.rb[2:1]                                                      | passed | 0.69856 seconds |
./spec/factories_spec.rb[3:1]                                                      | passed | 0.21783 seconds |
./spec/factories_spec.rb[4:1]                                                      | passed | 0.01297 seconds |
./spec/factories_spec.rb[5:1]                                                      | passed | 0.03366 seconds |
./spec/factories_spec.rb[6:1]                                                      | passed | 0.20398 seconds |
./spec/factories_spec.rb[7:1]                                                      | passed | 0.00909 seconds |
./spec/factories_spec.rb[8:1]                                                      | passed | 0.00976 seconds |
./spec/factories_spec.rb[9:1]                                                      | passed | 0.14613 seconds |
./spec/features/osbbs_crud_spec.rb[1:1]                                            | passed | 0.41838 seconds |
./spec/features/osbbs_crud_spec.rb[1:2]                                            | passed | 0.31916 seconds |
./spec/features/osbbs_crud_spec.rb[1:3]                                            | passed | 0.46301 seconds |
./spec/features/osbbs_crud_spec.rb[1:4]                                            | passed | 0.40568 seconds |
./spec/features/osbbs_crud_spec.rb[1:5]                                            | passed | 0.37095 seconds |
./spec/features/user_impersonate_spec.rb[1:1]                                      | passed | 1.04 seconds    |
./spec/helpers/account/users_helper_spec.rb[1:1:1]                                 | passed | 0.00827 seconds |
./spec/helpers/account/utility_providers_helper_spec.rb[1:1]                       | passed | 0.0038 seconds  |
./spec/helpers/account/utility_providers_helper_spec.rb[1:2]                       | passed | 0.00502 seconds |
./spec/helpers/account/utility_providers_helper_spec.rb[1:3]                       | passed | 0.00462 seconds |
./spec/helpers/account/utility_providers_helper_spec.rb[1:4]                       | passed | 0.01046 seconds |
./spec/helpers/account/utility_providers_helper_spec.rb[1:5]                       | passed | 0.00387 seconds |
./spec/helpers/account/utility_providers_helper_spec.rb[1:6]                       | passed | 0.00358 seconds |
./spec/helpers/account/utility_providers_helper_spec.rb[1:7]                       | passed | 0.00412 seconds |
./spec/helpers/account/utility_providers_helper_spec.rb[1:8]                       | passed | 0.00796 seconds |
./spec/helpers/account/utility_providers_helper_spec.rb[1:9]                       | passed | 0.00878 seconds |
./spec/helpers/account/utility_providers_helper_spec.rb[1:10]                      | passed | 0.00386 seconds |
./spec/helpers/account/utility_providers_helper_spec.rb[1:11]                      | passed | 0.00326 seconds |
./spec/helpers/account/utility_providers_helper_spec.rb[1:12]                      | passed | 0.00544 seconds |
./spec/helpers/billing_contracts_helper_spec.rb[1:1:1]                             | passed | 0.01059 seconds |
./spec/helpers/billing_contracts_helper_spec.rb[1:1:2]                             | passed | 0.01387 seconds |
./spec/helpers/controller_helper_spec.rb[1:1:1]                                    | passed | 0.00573 seconds |
./spec/importers/billing_contracts_import_spec.rb[1:1:1:1]                         | passed | 0.10087 seconds |
./spec/importers/billing_contracts_import_spec.rb[1:1:1:2]                         | passed | 0.05378 seconds |
./spec/importers/billing_contracts_import_spec.rb[1:1:2:1]                         | passed | 0.07309 seconds |
./spec/importers/billing_contracts_import_spec.rb[1:1:2:2]                         | passed | 0.14937 seconds |
./spec/importers/billing_contracts_import_spec.rb[1:1:3]                           | passed | 0.03661 seconds |
./spec/importers/bills_import_spec.rb[1:1:1]                                       | passed | 0.01884 seconds |
./spec/importers/bills_import_spec.rb[1:1:2]                                       | passed | 0.02429 seconds |
./spec/importers/bills_import_spec.rb[1:1:3]                                       | passed | 0.04488 seconds |
./spec/importers/bills_import_spec.rb[1:1:4]                                       | passed | 0.03612 seconds |
./spec/importers/bills_import_spec.rb[1:1:5]                                       | passed | 0.0062 seconds  |
./spec/importers/companies_import_spec.rb[1:1:1:1]                                 | passed | 4.19 seconds    |
./spec/importers/companies_import_spec.rb[1:1:1:2]                                 | passed | 1.5 seconds     |
./spec/importers/companies_import_spec.rb[1:1:2:1]                                 | passed | 4.49 seconds    |
./spec/importers/companies_import_spec.rb[1:1:2:2]                                 | passed | 1.5 seconds     |
./spec/importers/companies_import_spec.rb[1:1:3:1]                                 | passed | 4.49 seconds    |
./spec/importers/companies_import_spec.rb[1:1:3:2]                                 | passed | 1.5 seconds     |
./spec/importers/companies_import_spec.rb[1:1:4:1]                                 | passed | 0.00405 seconds |
./spec/importers/payments_import_spec.rb[1:1:1]                                    | passed | 0.04322 seconds |
./spec/importers/payments_import_spec.rb[1:1:2]                                    | passed | 0.02526 seconds |
./spec/importers/payments_import_spec.rb[1:1:3]                                    | passed | 0.04292 seconds |
./spec/importers/payments_import_spec.rb[1:1:4]                                    | passed | 0.04811 seconds |
./spec/importers/payments_import_spec.rb[1:1:5]                                    | passed | 0.00539 seconds |
./spec/mailers/admin_mailer_spec.rb[1:1:1]                                         | passed | 0.25604 seconds |
./spec/mailers/admin_mailer_spec.rb[1:1:2]                                         | passed | 0.21496 seconds |
./spec/models/account_spec.rb[1:1:1]                                               | passed | 0.01097 seconds |
./spec/models/account_spec.rb[1:2:1:1]                                             | passed | 0.0393 seconds  |
./spec/models/account_spec.rb[1:2:1:2]                                             | passed | 0.03177 seconds |
./spec/models/account_spec.rb[1:2:2:1]                                             | passed | 0.02698 seconds |
./spec/models/account_spec.rb[1:2:2:2]                                             | passed | 0.03045 seconds |
./spec/models/account_spec.rb[1:2:3:1]                                             | passed | 0.01226 seconds |
./spec/models/account_spec.rb[1:2:3:2]                                             | passed | 0.00751 seconds |
./spec/models/account_spec.rb[1:3:1:1]                                             | passed | 0.02607 seconds |
./spec/models/address_spec.rb[1:1:1]                                               | passed | 0.22218 seconds |
./spec/models/address_spec.rb[1:2:1:1]                                             | passed | 0.4725 seconds  |
./spec/models/address_spec.rb[1:2:1:2]                                             | passed | 0.49698 seconds |
./spec/models/address_spec.rb[1:2:2:1]                                             | passed | 0.52474 seconds |
./spec/models/address_spec.rb[1:2:2:2]                                             | passed | 0.47422 seconds |
./spec/models/address_spec.rb[1:2:3:1]                                             | passed | 0.51477 seconds |
./spec/models/address_spec.rb[1:2:3:2]                                             | passed | 0.4879 seconds  |
./spec/models/address_spec.rb[1:2:4:1]                                             | passed | 0.80368 seconds |
./spec/models/address_spec.rb[1:2:4:2]                                             | passed | 0.19055 seconds |
./spec/models/address_spec.rb[1:3:1:1]                                             | passed | 0.50026 seconds |
./spec/models/address_spec.rb[1:3:2:1]                                             | passed | 0.00419 seconds |
./spec/models/address_spec.rb[1:3:2:2]                                             | passed | 0.00413 seconds |
./spec/models/bill_spec.rb[1:1:1]                                                  | passed | 0.01086 seconds |
./spec/models/bill_spec.rb[1:2:1:1]                                                | passed | 0.02148 seconds |
